adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-sans-pro-fonts 3.006-1
adobe-source-serif-pro-fonts 3.001-1
alacarte 3.11.91+12+g1bb265f-3
alacritty 0.4.1-1
alacritty-terminfo 0.4.1-1
arc-gtk-theme 20190917-1
autoconf 2.69-6
automake 1.16.1-2
bash 5.0.011-2
bash-completion 2.10-1
bat 0.12.1-1
binutils 2.33.1-2
bison 3.5-1
bzip2 1.0.8-3
cabextract 1.9.1-1
capitaine-cursors 3-2
catimg 2.6.0-1
celluloid-git 0.16.r64.g687ff2f-1
chafa 1.2.1-2
chrome-gnome-shell-git 10.1.r30.g4ddb52e-1
chromium 79.0.3945.130-2
chromium-widevine 1:4.10.1610.0-1
cmake 3.16.3-1
coreutils 8.31-3
cpio 2.13-1
cryptsetup 2.2.2-1
dash 0.5.10.2-2
dashbinsh 0.1-3
dconf-editor 3.34.3-1
deepin-icon-theme 15.12.71-1
device-mapper 2.02.186-5
dfu-util 0.9-2
dhclient 4.4.1-5
diffutils 3.7-3
dnsmasq 2.80-4
docker 1:19.03.5-1
docker-compose 1.25.2-1
docker-credential-pass 0.6.3-1
dtrx 7.1-4
e2fsprogs 1.45.5-1
efibootmgr 16-2
evince 3.34.2-1
exfat-utils 1.3.0-1
expac 10-1
fakeroot 1.24-2
fbset 2.1-6
fd 7.4.0-1
feh 3.3-2
fff 2.1-1
ffmpegthumbnailer 2.2.2-1
file 5.38-1
file-roller 3.32.3-1
filesystem 2019.10-2
findutils 4.7.0-2
fish 3.0.2-3
flake8 1:3.7.9-1
flex 2.6.4-3
fortune-mod 2.12.0-1
fzf 0.20.0-1
gawk 5.0.1-2
gcc 9.2.0-4
gcc-libs 9.2.0-4
gdm 3.34.1-1
gettext 0.20.1-3
git 2.25.0-1
glibc 2.30-3
gnome-backgrounds 3.34.0-1
gnome-calculator 3.34.1-1
gnome-characters 3.32.1-1
gnome-clocks 3.34.0-1
gnome-control-center 3.34.2-1
gnome-font-viewer 3.34.0-1
gnome-keyring 1:3.34.0-2
gnome-logs 3.34.0-1
gnome-menus 3.32.0-1
gnome-screenshot 3.34.0-1
gnome-session 3.34.2-1
gnome-settings-daemon 3.34.2-1
gnome-shell 1:3.34.3-1
gnome-shell-extension-arch-update 33-1
gnome-shell-extension-dash-to-dock 67+16+g4fd2776-1
gnome-shell-extension-impatience-git r35.43e4e0a-1
gnome-shell-extensions 3.34.2-1
gnome-tweaks 3.34.0-2
go 2:1.13.6-1
gopass 1.8.6-3
gotop 3.0.0-4
grep 3.4-1
groff 1.22.4-3
gst-libav 1.16.2-1
gst-plugins-ugly 1.16.2-2
