   0.00 MiB	pygmentize                              	Python syntax highlighter
   0.01 MiB	alacritty-terminfo                      	Terminfo files for the alacritty terminal emulator
   0.01 MiB	lostfiles                               	Find orphaned files not owned by any Arch packages
   0.01 MiB	pulseaudio-alsa                         	ALSA Configuration for PulseAudio
   0.01 MiB	xorg-xgamma                             	Alter a monitor's gamma correction
   0.02 MiB	libcanberra-gstreamer                   	GStreamer plugin for libcanberra
   0.02 MiB	sassc                                   	C implementation of Sass CSS preprocessor.
   0.02 MiB	xorg-sessreg                            	Register X sessions in system utmp/utmpx databases
   0.02 MiB	xorg-smproxy                            	Allows X applications that do not support X11R6 session management to participate in an X11R6 session
   0.03 MiB	deepin-polkit-agent-ext-gnomekeyring    	GNOME keyring extension for dde-polkit-agent
   0.03 MiB	jp2a                                    	A small utility for converting JPG images to ASCII
   0.03 MiB	xorg-xcmsdb                             	Device Color Characterization utility for X Color Management System
   0.04 MiB	efibootmgr                              	Tool to modify UEFI Firmware Boot Manager Variables
   0.04 MiB	fff                                     	Simple and fast file manager
   0.04 MiB	msr-tools                               	Utilities to access the processor MSRs and CPU ID directly
   0.04 MiB	x86_energy_perf_policy                  	Read or write MSR_IA32_ENERGY_PERF_BIAS
   0.04 MiB	xf86-input-vmmouse                      	X.org VMWare Mouse input driver
   0.04 MiB	xorg-xdpyinfo                           	Display information utility for X
   0.04 MiB	xorg-xdriinfo                           	Query configuration information of DRI drivers
   0.04 MiB	xorg-xkbevd                             	XKB event daemon
   0.05 MiB	deepin-desktop-base                     	Base component for Deepin
   0.05 MiB	gvfs-nfs                                	Virtual filesystem implementation for GIO (NFS backend)
   0.05 MiB	pacgraph                                	Draws a graph of installed packages to PNG/SVG/GUI/console. Good for finding bloat.
   0.05 MiB	time                                    	Utility for monitoring a program's use of system resources
   0.05 MiB	xorg-luit                               	Filter that can be run between an arbitrary application and a UTF-8 terminal emulator
   0.05 MiB	xorg-xauth                              	X.Org authorization settings program
   0.05 MiB	xorg-xbacklight                         	RandR-based backlight control application
   0.05 MiB	xorg-xcursorgen                         	Create an X cursor file from PNG images
   0.05 MiB	xorg-xhost                              	Server access control program for X
   0.05 MiB	xorg-xinput                             	Small commandline tool to configure devices
   0.05 MiB	xorg-xkbutils                           	XKB utility demos
   0.05 MiB	xorg-xkill                              	Kill a client by its X resource
   0.05 MiB	xorg-xlsatoms                           	List interned atoms defined on server
   0.05 MiB	xorg-xlsclients                         	List client applications running on a display
   0.05 MiB	xorg-xrefresh                           	Refresh all or part of an X screen
   0.05 MiB	xorg-xsetroot                           	Classic X utility to set your root window background to a given pattern or color
   0.05 MiB	xorg-xvinfo                             	Prints out the capabilities of any video adaptors associated with the display that are accessible through the X-Video extension
   0.06 MiB	expac                                   	pacman database extraction utility
   0.06 MiB	xclip                                   	Command line interface to the X11 clipboard
   0.06 MiB	xorg-setxkbmap                          	Set the keyboard using the X Keyboard Extension
   0.06 MiB	xorg-xev                                	Print contents of X events
   0.06 MiB	xorg-xwud                               	X Window System image undumping utility
   0.07 MiB	deepin-shortcut-viewer                  	Deepin Shortcut Viewer
   0.07 MiB	libxss                                  	X11 Screen Saver extension library
   0.07 MiB	scrot                                   	Simple command-line screenshot utility for X
   0.07 MiB	xf86-video-vesa                         	X.org vesa video driver
   0.07 MiB	xorg-iceauth                            	ICE authority file utility
   0.07 MiB	xorg-xrandr                             	Primitive command line interface to RandR extension
   0.07 MiB	xorg-xrdb                               	X server resource database utility
   0.07 MiB	xorg-xset                               	User preference utility for X
   0.07 MiB	xorg-xwd                                	X Window System image dumping utility
   0.08 MiB	catimg                                  	Print images in a terminal with 256 colors support
   0.08 MiB	xorg-xinit                              	X.Org initialisation program
   0.08 MiB	xorg-xmodmap                            	Utility for modifying keymaps and button mappings
   0.08 MiB	xorg-xprop                              	Property displayer for X
   0.08 MiB	xorg-xwininfo                           	Command-line utility to print information about windows on an X server
   0.09 MiB	cabextract                              	A program to extract Microsoft cabinet (.CAB) files
   0.09 MiB	fbset                                   	Framebuffer setup utility
   0.09 MiB	gvfs-smb                                	Virtual filesystem implementation for GIO (SMB/CIFS backend; Windows client)
   0.09 MiB	xorg-xpr                                	Print an X window dump from xwd
   0.11 MiB	lhasa                                   	Free LZH/LHA archive tool
   0.11 MiB	tree                                    	A directory listing program displaying a depth indented list of files
   0.11 MiB	unshield                                	Extracts CAB files from InstallShield installers
   0.12 MiB	deepin-menu                             	Deepin menu service for building beautiful menus
   0.12 MiB	ncdu                                    	Disk usage analyzer with an ncurses interface
   0.14 MiB	libu2f-host                             	Yubico Universal 2nd Factor (U2F) Host C Library
   0.15 MiB	gvfs-afc                                	Virtual filesystem implementation for GIO (AFC backend; Apple mobile devices)
   0.15 MiB	pacman-contrib                          	Contributed scripts and tools for pacman systems
   0.17 MiB	dash                                    	POSIX compliant shell that aims to be as small as possible
   0.17 MiB	pulseaudio-bluetooth                    	Bluetooth support for PulseAudio
   0.17 MiB	xdotool                                 	Command-line X11 automation tool
   0.17 MiB	xorg-server-common                      	Xorg server common files
   0.18 MiB	deepin-turbo                            	A daemon that helps to launch applications faster
   0.19 MiB	htop                                    	Interactive process viewer
   0.20 MiB	ttf-inconsolata                         	Monospace font for pretty code listings and for the terminal
   0.22 MiB	xf86-video-amdgpu                       	X.org amdgpu video driver
   0.22 MiB	xf86-video-vmware                       	X.org vmware video driver
   0.23 MiB	ttf-caladea                             	Google's Caladea font
   0.24 MiB	deepin-calendar                         	Calendar for Deepin Desktop Environment
   0.25 MiB	deepin-desktop-schemas                  	GSettings deepin desktop-wide schemas
   0.25 MiB	xorg-xkbcomp                            	X Keyboard description compiler
   0.26 MiB	rtmpdump                                	Tool to download rtmp streams
   0.27 MiB	exfat-utils                             	Utilities for exFAT file system
   0.27 MiB	lesspipe                                	an input filter for the pager less
   0.27 MiB	xorg-x11perf                            	Simple X server performance benchmarker
   0.28 MiB	neofetch                                	A CLI system information tool written in BASH that supports displaying images.
   0.29 MiB	gtk-engine-murrine                      	GTK2 engine to make your desktop look like a 'murrina', an italian word meaning the art glass works done by Venicians glass blowers.
   0.30 MiB	unrar                                   	The RAR uncompression program
   0.31 MiB	python-neovim                           	Python client for Neovim
   0.32 MiB	chafa                                   	Image-to-text converter supporting a wide range of symbols and palettes, transparency, animations, etc.
   0.34 MiB	atomicparsley                           	A command line program for reading, parsing and setting iTunes-style metadata in MPEG4 files
   0.34 MiB	deepin-network-utils                    	DDE network utils
   0.34 MiB	unzip                                   	For extracting and viewing files in .zip archives
   0.39 MiB	deepin-qt5dxcb-plugin                   	Qt platform plugins for DDE
   0.44 MiB	otf-fantasque-sans-mono                 	OTF font family with a great monospaced variant for programmers
   0.46 MiB	pacutils                                	Helper tools for libalpm
   0.48 MiB	imagemagick                             	An image viewing/manipulation program
   0.50 MiB	feh                                     	Fast and light imlib2-based image viewer
   0.52 MiB	deepin-anything                         	Deepin Anything file search tool
   0.55 MiB	rsync                                   	A file transfer program to keep remote files in sync
   0.60 MiB	tmux                                    	A terminal multiplexer
   0.72 MiB	dnsmasq                                 	Lightweight, easy to configure DNS forwarder and DHCP server
   0.78 MiB	ufw                                     	Uncomplicated and easy to use CLI tool for managing a netfilter firewall
   0.79 MiB	cpio                                    	A tool to copy files into or out of a cpio or tar archive
