   0.00 MiB	pygmentize                              	Python syntax highlighter
   0.01 MiB	alacritty-terminfo                      	Terminfo files for the alacritty terminal emulator
   0.01 MiB	lostfiles                               	Find orphaned files not owned by any Arch packages
   0.01 MiB	pulseaudio-alsa                         	ALSA Configuration for PulseAudio
   0.01 MiB	xorg-xgamma                             	Alter a monitor's gamma correction
   0.02 MiB	pass-otp                                	A pass extension for managing one-time-password (OTP) tokens.
   0.02 MiB	xorg-sessreg                            	Register X sessions in system utmp/utmpx databases
   0.02 MiB	xorg-smproxy                            	Allows X applications that do not support X11R6 session management to participate in an X11R6 session
   0.03 MiB	jp2a                                    	A small utility for converting JPG images to ASCII
   0.03 MiB	pydf                                    	A colorized df clone
   0.03 MiB	xorg-xcmsdb                             	Device Color Characterization utility for X Color Management System
   0.04 MiB	efibootmgr                              	Tool to modify UEFI Firmware Boot Manager Variables
   0.04 MiB	fff                                     	Simple and fast file manager
   0.04 MiB	pass                                    	Stores, retrieves, generates, and synchronizes passwords securely
   0.04 MiB	xorg-xdpyinfo                           	Display information utility for X
   0.04 MiB	xorg-xdriinfo                           	Query configuration information of DRI drivers
   0.04 MiB	xorg-xkbevd                             	XKB event daemon
   0.05 MiB	pacgraph                                	Draws a graph of installed packages to PNG/SVG/GUI/console. Good for finding bloat.
   0.05 MiB	time                                    	Utility for monitoring a program's use of system resources
   0.05 MiB	xorg-luit                               	Filter that can be run between an arbitrary application and a UTF-8 terminal emulator
   0.05 MiB	xorg-xauth                              	X.Org authorization settings program
   0.05 MiB	xorg-xbacklight                         	RandR-based backlight control application
   0.05 MiB	xorg-xcursorgen                         	Create an X cursor file from PNG images
   0.05 MiB	xorg-xhost                              	Server access control program for X
   0.05 MiB	xorg-xinput                             	Small commandline tool to configure devices
   0.05 MiB	xorg-xkbutils                           	XKB utility demos
   0.05 MiB	xorg-xkill                              	Kill a client by its X resource
   0.05 MiB	xorg-xlsatoms                           	List interned atoms defined on server
   0.05 MiB	xorg-xlsclients                         	List client applications running on a display
   0.05 MiB	xorg-xrefresh                           	Refresh all or part of an X screen
   0.05 MiB	xorg-xsetroot                           	Classic X utility to set your root window background to a given pattern or color
   0.05 MiB	xorg-xvinfo                             	Prints out the capabilities of any video adaptors associated with the display that are accessible through the X-Video extension
   0.06 MiB	expac                                   	pacman database extraction utility
   0.06 MiB	xclip                                   	Command line interface to the X11 clipboard
   0.06 MiB	xorg-setxkbmap                          	Set the keyboard using the X Keyboard Extension
   0.06 MiB	xorg-xev                                	Print contents of X events
   0.06 MiB	xorg-xwud                               	X Window System image undumping utility
   0.07 MiB	gwaterfall                              	View all characters of a font in all sizes
   0.07 MiB	libxss                                  	X11 Screen Saver extension library
   0.07 MiB	xf86-video-vesa                         	X.org vesa video driver
   0.07 MiB	xorg-iceauth                            	ICE authority file utility
   0.07 MiB	xorg-xrandr                             	Primitive command line interface to RandR extension
   0.07 MiB	xorg-xrdb                               	X server resource database utility
   0.07 MiB	xorg-xset                               	User preference utility for X
   0.07 MiB	xorg-xwd                                	X Window System image dumping utility
   0.08 MiB	catimg                                  	Print images in a terminal with 256 colors support
   0.08 MiB	xorg-xmodmap                            	Utility for modifying keymaps and button mappings
   0.08 MiB	xorg-xprop                              	Property displayer for X
   0.08 MiB	xorg-xwininfo                           	Command-line utility to print information about windows on an X server
   0.09 MiB	cabextract                              	A program to extract Microsoft cabinet (.CAB) files
   0.09 MiB	dfu-util                                	Tool intended to download and upload firmware using DFU protocol to devices connected over USB
   0.09 MiB	fbset                                   	Framebuffer setup utility
   0.09 MiB	xorg-xpr                                	Print an X window dump from xwd
   0.11 MiB	lhasa                                   	Free LZH/LHA archive tool
   0.11 MiB	libva-vdpau-driver                      	VDPAU backend for VA API
   0.11 MiB	tree                                    	A directory listing program displaying a depth indented list of files
   0.11 MiB	unshield                                	Extracts CAB files from InstallShield installers
   0.12 MiB	mtr                                     	Combines the functionality of traceroute and ping into one tool (CLI version)
   0.12 MiB	ncdu                                    	Disk usage analyzer with an ncurses interface
   0.14 MiB	libu2f-host                             	Yubico Universal 2nd Factor (U2F) Host C Library
   0.15 MiB	pacman-contrib                          	Contributed scripts and tools for pacman systems
   0.17 MiB	dash                                    	POSIX compliant shell that aims to be as small as possible
   0.17 MiB	pulseaudio-bluetooth                    	Bluetooth support for PulseAudio
   0.17 MiB	xdotool                                 	Command-line X11 automation tool
   0.17 MiB	xorg-server-common                      	Xorg server common files
   0.18 MiB	stow                                    	Manage installation of multiple softwares in the same directory tree
   0.18 MiB	xdg-user-dirs-gtk                       	Creates user dirs and asks to relocalize them
   0.19 MiB	htop                                    	Interactive process viewer
   0.20 MiB	ttf-inconsolata                         	Monospace font for pretty code listings and for the terminal
   0.22 MiB	xf86-video-amdgpu                       	X.org amdgpu video driver
   0.23 MiB	ttf-caladea                             	Google's Caladea font
   0.25 MiB	xorg-xkbcomp                            	X Keyboard description compiler
   0.27 MiB	exfat-utils                             	Utilities for exFAT file system
   0.27 MiB	lesspipe                                	an input filter for the pager less
   0.27 MiB	xorg-x11perf                            	Simple X server performance benchmarker
   0.28 MiB	neofetch                                	A CLI system information tool written in BASH that supports displaying images.
   0.29 MiB	sushi                                   	A quick previewer for Nautilus
   0.30 MiB	unrar                                   	The RAR uncompression program
   0.31 MiB	python-neovim                           	Python client for Neovim
   0.32 MiB	chafa                                   	Image-to-text converter supporting a wide range of symbols and palettes, transparency, animations, etc.
   0.34 MiB	multitail                               	Lets you view one or multiple files like the original tail program
   0.34 MiB	unzip                                   	For extracting and viewing files in .zip archives
   0.39 MiB	alacarte                                	Menu editor for gnome
   0.46 MiB	pacutils                                	Helper tools for libalpm
   0.50 MiB	feh                                     	Fast and light imlib2-based image viewer
   0.55 MiB	rsync                                   	A file transfer program to keep remote files in sync
   0.61 MiB	libheif                                 	HEIF file format decoder and encoder
   0.63 MiB	gnome-menus                             	GNOME menu specifications
   0.63 MiB	tmux                                    	A terminal multiplexer
   0.72 MiB	dnsmasq                                 	Lightweight, easy to configure DNS forwarder and DHCP server
   0.76 MiB	opencl-headers                          	OpenCL (Open Computing Language) header files
   0.77 MiB	gnome-characters                        	A character map application
   0.78 MiB	gnome-font-viewer                       	A font viewer utility for GNOME
   0.78 MiB	ufw                                     	Uncomplicated and easy to use CLI tool for managing a netfilter firewall
   0.79 MiB	cpio                                    	A tool to copy files into or out of a cpio or tar archive
   0.82 MiB	bash-completion                         	Programmable completion for the bash shell
   0.82 MiB	xorg-docs                               	X.org documentations
   0.87 MiB	gnome-screenshot                        	Take pictures of your screen
   0.89 MiB	gnome-shell-extensions                  	Extensions for GNOME shell, including classic mode
   1.00 MiB	openmp                                  	LLVM OpenMP Runtime Library
   1.05 MiB	terminus-font                           	Monospace bitmap font (for X11 and console)
   1.12 MiB	ttf-fira-code                           	Monospaced font with programming ligatures
   1.17 MiB	gnome-tweaks                            	Graphical interface for advanced GNOME 3 settings (Tweak Tool)
   1.19 MiB	docker-compose                          	Fast, isolated development environments using Docker
   1.21 MiB	ttf-hack                                	A hand groomed and optically balanced typeface based on Bitstream Vera Mono.
   1.22 MiB	libcaca                                 	Color AsCii Art library
   1.25 MiB	xorg-server-devel                       	Development files for the X.Org X server
   1.28 MiB	gnome-clocks                            	Clocks applications for GNOME
